"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","12-May-2017","        366.00","        362.25","        370.30","        361.50","        364.00","        365.10","        365.00","    3668575","          1339027491.70","      55804","    1945354","         53.03"
"BHARTIARTL","EQ","15-May-2017","        365.10","        366.00","        369.95","        361.40","        364.00","        364.15","        364.97","    3724158","          1359207083.50","      61172","    2423268","         65.07"
"BHARTIARTL","EQ","16-May-2017","        364.15","        365.90","        377.65","        365.45","        373.00","        374.35","        374.54","    5858910","          2194394384.60","      62906","    3196527","         54.56"
"BHARTIARTL","EQ","17-May-2017","        374.35","        371.20","        380.90","        371.20","        374.60","        375.95","        376.91","    5265901","          1984776062.85","      64485","    3717681","         70.60"
"BHARTIARTL","EQ","18-May-2017","        375.95","        373.70","        381.60","        368.60","        371.05","        370.75","        374.58","    3319974","          1243592538.00","      49006","    1625998","         48.98"
"BHARTIARTL","EQ","19-May-2017","        370.75","        373.00","        379.50","        368.15","        373.00","        372.75","        373.75","    5431034","          2029856413.35","      68709","    3831595","         70.55"
"BHARTIARTL","EQ","22-May-2017","        372.75","        374.00","        378.60","        371.40","        372.05","        372.55","        374.86","    2737412","          1026155283.05","      40493","    1753434","         64.05"
"BHARTIARTL","EQ","23-May-2017","        372.55","        372.05","        376.25","        371.00","        371.80","        371.90","        372.53","    5814307","          2166006489.15","      88357","    4770682","         82.05"
"BHARTIARTL","EQ","24-May-2017","        371.90","        368.00","        373.00","        365.65","        367.40","        368.35","        369.97","    6943292","          2568788209.05","      65413","    5209312","         75.03"
"BHARTIARTL","EQ","25-May-2017","        368.35","        367.00","        376.35","        360.75","        369.00","        370.70","        370.87","   14179868","          5258923085.65","      71972","    8947526","         63.10"
"BHARTIARTL","EQ","26-May-2017","        370.70","        369.00","        380.45","        368.50","        372.95","        373.60","        375.50","    2858455","          1073339550.35","      35489","    1670294","         58.43"
"BHARTIARTL","EQ","29-May-2017","        373.60","        374.70","        378.90","        367.90","        372.75","        373.10","        373.38","    1996158","           745326754.00","      25167","     959863","         48.09"
"BHARTIARTL","EQ","30-May-2017","        373.10","        374.80","        376.80","        369.35","        370.00","        370.70","        373.12","    1958269","           730666738.00","      24709","     813916","         41.56"
"BHARTIARTL","EQ","31-May-2017","        370.70","        374.00","        376.90","        368.05","        371.25","        371.55","        371.49","   15400633","          5721142914.55","     131293","   13034088","         84.63"
"BHARTIARTL","EQ","01-Jun-2017","        371.55","        370.00","        373.40","        365.85","        366.05","        366.90","        368.02","    2223961","           818462128.15","      40508","    1356619","         61.00"
"BHARTIARTL","EQ","02-Jun-2017","        366.90","        370.80","        381.35","        369.80","        373.00","        373.25","        375.37","    5180320","          1944516483.00","      52574","    2431473","         46.94"
"BHARTIARTL","EQ","05-Jun-2017","        373.25","        373.20","        377.80","        371.35","        371.50","        372.40","        374.15","    2332623","           872743274.25","      30175","    1346989","         57.75"
"BHARTIARTL","EQ","06-Jun-2017","        372.40","        370.00","        372.50","        367.00","        369.70","        369.00","        368.66","    3304788","          1218333117.40","      33959","    1862281","         56.35"
"BHARTIARTL","EQ","07-Jun-2017","        369.00","        373.45","        375.25","        371.00","        372.00","        372.80","        373.05","    3882379","          1448305385.50","      51333","    2852719","         73.48"
"BHARTIARTL","EQ","08-Jun-2017","        372.80","        372.95","        374.30","        366.70","        367.50","        367.70","        368.85","    3477533","          1282687981.80","      59054","    2299744","         66.13"
"BHARTIARTL","EQ","09-Jun-2017","        367.70","        367.75","        371.10","        366.25","        367.00","        367.80","        368.51","    2888545","          1064470401.55","      25291","    2029453","         70.26"
